date,btc_usd,gold_usd,dxy
2024-09-13,60571.30078125,2581.300048828125,101.11000061035156
2024-09-14,60005.12109375,2581.300048828125,101.11000061035156
2024-09-15,59182.8359375,2581.300048828125,101.11000061035156
2024-09-16,58192.5078125,2580.39990234375,100.76000213623047
2024-09-17,60308.5390625,2564.300048828125,100.88999938964844
2024-09-18,61649.6796875,2570.699951171875,100.5999984741211
2024-09-19,62940.45703125,2588.0,100.61000061035156
2024-09-20,63192.9765625,2619.89990234375,100.72000122070312
2024-09-21,63394.83984375,2619.89990234375,100.72000122070312
2024-09-22,63648.7109375,2619.89990234375,100.72000122070312
2024-09-23,63329.80078125,2626.5,100.91999816894531
2024-09-24,64301.96875,2651.199951171875,100.37000274658203
2024-09-25,63143.14453125,2659.199951171875,100.91999816894531
2024-09-26,65181.01953125,2669.89990234375,100.55999755859375
2024-09-27,65790.6640625,2644.300048828125,100.41999816894531
2024-09-28,65887.6484375,2644.300048828125,100.41999816894531
2024-09-29,65635.3046875,2644.300048828125,100.41999816894531
2024-09-30,63329.5,2636.10009765625,100.77999877929688
2024-10-01,60837.0078125,2667.300048828125,101.19000244140625
2024-10-02,60632.78515625,2647.10009765625,101.68000030517578
2024-10-03,60759.40234375,2657.10009765625,101.98999786376953
2024-10-04,62067.4765625,2645.800048828125,102.5199966430664
2024-10-05,62089.94921875,2645.800048828125,102.5199966430664
2024-10-06,62818.953125,2645.800048828125,102.5199966430664
2024-10-07,62236.66015625,2644.800048828125,102.54000091552734
2024-10-08,62131.96875,2615.0,102.55000305175781
2024-10-09,60582.1015625,2606.0,102.93000030517578
2024-10-10,60274.5,2620.60009765625,102.98999786376953
2024-10-11,62445.08984375,2657.60009765625,102.88999938964844
2024-10-12,63193.0234375,2657.60009765625,102.88999938964844
2024-10-13,62851.375,2657.60009765625,102.88999938964844
2024-10-14,66046.125,2647.800048828125,103.30000305175781
2024-10-15,67041.109375,2661.39990234375,103.26000213623047
2024-10-16,67612.71875,2674.0,103.58999633789062
2024-10-17,67399.8359375,2691.0,103.83000183105469
2024-10-18,68418.7890625,2713.699951171875,103.48999786376953
2024-10-19,68362.734375,2713.699951171875,103.48999786376953
2024-10-20,69001.703125,2713.699951171875,103.48999786376953
2024-10-21,67367.8515625,2723.10009765625,104.01000213623047
2024-10-22,67361.40625,2744.199951171875,104.08000183105469
2024-10-23,66432.1953125,2714.39990234375,104.43000030517578
2024-10-24,68161.0546875,2734.89990234375,104.05999755859375
2024-10-25,66642.4140625,2740.89990234375,104.26000213623047
2024-10-26,67014.6953125,2740.89990234375,104.26000213623047
2024-10-27,67929.296875,2740.89990234375,104.26000213623047
2024-10-28,69907.7578125,2742.89990234375,104.31999969482422
2024-10-29,72720.4921875,2768.39990234375,104.27999877929688
2024-10-30,72339.5390625,2788.5,103.98999786376953
